Run,TID,L1_hit,L2_hit,DRAM_hit,N_accesses,N_mem_stalls,N_L2_mem_stalls,N_L2_miss_mem_stalls,L1_cycles,L2_cycles,DRAM_cycles
cg.B.x_LARC_C,9,82.7,17.28097,0.019030000000001,322013986,,,,,,
cg.B.x_LARC_C,10,82.67,17.310937,0.019063000000003,321976036,,,,,,
cg.B.x_LARC_C,11,83.8,16.18218,0.01782,322221323,,,,,,
cg.B.x_LARC_C,12,83.62,16.361982,0.018017999999998,322079391,,,,,,
cg.B.x_LARC_C,13,82.6,17.38086,0.019140000000007,321947493,,,,,,
cg.B.x_LARC_C,14,83.9,16.08229,0.017709999999994,322188096,,,,,,
cg.B.x_LARC_C,15,83.47,16.511817,0.018182999999993,322107386,,,,,,
cg.B.x_LARC_C,16,83.53,16.451883,0.018117000000004,322100207,,,,,,
cg.B.x_LARC_C,17,83.65,16.332015,0.017984999999996,322180820,,,,,,
cg.B.x_LARC_C,18,84.31,15.672741,0.017258999999996,322162389,,,,,,
cg.B.x_LARC_C,19,84.29,15.692719,0.017281000000011,322204891,,,,,,
cg.B.x_LARC_C,20,83.61,16.371971,0.018028999999999,322134335,,,,,,
cg.B.x_LARC_C,21,84.25,15.732675,0.017325,322227512,,,,,,
cg.B.x_LARC_C,22,84.21,15.772631,0.017368999999988,322218245,,,,,,
cg.B.x_LARC_C,23,84.12,15.862532,0.017467999999994,322200652,,,,,,
cg.B.x_LARC_C,24,85.42,14.563962,0.016037999999995,322436652,,,,,,
cg.B.x_LARC_C,25,85.77,14.214347,0.015653,322526735,,,,,,
cg.B.x_LARC_C,26,85.32,14.663852,0.016148000000015,322357533,,,,,,
cg.B.x_LARC_C,27,85.02,14.963522,0.016478000000007,322414938,,,,,,
cg.B.x_LARC_C,28,85.15,14.833665,0.016334999999998,322468753,,,,,,
cg.B.x_LARC_C,29,85.65,14.334215,0.015784999999994,322485416,,,,,,
cg.B.x_LARC_C,30,85.43,14.553973,0.016026999999994,322489365,,,,,,
cg.B.x_LARC_C,31,85.02,14.963522,0.016478000000007,322410865,,,,,,
ft.W.x_A64FX,0,64.72,32.570496,2.70950400000001,423716682,1998075740,371310154,250325266,18501104457,13424960526,6318467232
ft.W.x_A64FX,1,64.93,32.376624,2.693376,424004168,1954975826,346827418,251571875,18458912076,13479147813,6220972296
ft.W.x_A64FX,2,65.06,32.256608,2.683392,424089382,1964500295,349762191,246315012,18437293699,13573185413,6162704548
ft.W.x_A64FX,3,64.91,32.395088,2.694912,423985232,1981599582,358097221,246603652,18442378185,13600873677,6192492460
ft.W.x_A64FX,4,64.3,32.95824,2.74176,420822165,1993509808,368264449,253497617,18308034690,13552771198,6176472148
ft.W.x_A64FX,5,64.44,32.828992,2.731008,423169941,1978925816,358310079,247995056,18443174827,13560007177,6343712760
ft.W.x_A64FX,6,64.16,33.087488,2.752512,418827754,1979063739,364127815,248028256,18318044558,13581373894,6314441056
ft.W.x_A64FX,7,63.98,33.253664,2.766336,417032463,2024926251,373768459,257416384,18206823041,13579696652,6243334944
ft.W.x_A64FX,8,64.74,32.552032,2.70796799999999,423782755,1988363309,365602351,245972510,18327729783,13521602772,6260128028
ft.W.x_A64FX,9,64.83,32.468944,2.70105599999999,423917540,1997132166,367838743,249600227,18273246277,13388392035,6276634364
ft.W.x_A64FX,10,65.05,32.26584,2.68416000000001,424158005,1993424834,361501523,251248500,18238280368,13475109667,6224078168
ft.W.x_A64FX,11,65.03,32.284304,2.68569600000001,424082858,2005430507,372812857,246048645,18201185915,13443251939,6236851544
ft.B.x_A64FX_32,0,59.73,25.587558,14.682442,303968037,,,,,,
ft.B.x_A64FX_32,1,60.02,25.403292,14.576708,303982499,,,,,,
ft.B.x_A64FX_32,2,59.91,25.473186,14.616814,304061020,,,,,,
ft.B.x_A64FX_32,3,59.45,25.76547,14.78453,303766323,,,,,,
ft.B.x_A64FX_32,4,59.2,25.92432,14.87568,303507256,,,,,,
ft.B.x_A64FX_32,5,59.07,26.006922,14.923078,303457285,,,,,,
ft.B.x_A64FX_32,6,58.56,26.330976,15.109024,303328892,,,,,,
ft.B.x_A64FX_32,7,59.62,25.657452,14.722548,303706723,,,,,,
ft.B.x_A64FX_32,8,59.21,25.917966,14.872034,303606709,,,,,,
ft.B.x_A64FX_32,9,59.37,25.816302,14.813698,303570856,,,,,,
ft.B.x_A64FX_32,10,59.38,25.809948,14.810052,303705710,,,,,,
ft.B.x_A64FX_32,11,59.4,25.79724,14.80276,303590459,,,,,,
ft.B.x_A64FX_32,12,59.78,25.555788,14.664212,303981720,,,,,,
ft.B.x_A64FX_32,13,60.29,25.231734,14.478266,304165294,,,,,,
ft.B.x_A64FX_32,14,59.66,25.632036,14.707964,303904014,,,,,,
ft.B.x_A64FX_32,15,59.18,25.937028,14.882972,303501125,,,,,,
ft.B.x_A64FX_32,16,59.47,25.752762,14.777238,303621706,,,,,,
ft.B.x_A64FX_32,17,58.57,26.324622,15.105378,303333343,,,,,,
ft.B.x_A64FX_32,18,58.46,26.394516,15.145484,303192512,,,,,,
ft.B.x_A64FX_32,19,59.48,25.746408,14.773592,303776440,,,,,,
ft.B.x_A64FX_32,20,60.44,25.136424,14.423576,304269516,,,,,,
ft.B.x_A64FX_32,21,58.21,26.553366,15.236634,303186678,,,,,,
ft.B.x_A64FX_32,22,59.95,25.44777,14.60223,304093554,,,,,,
ft.B.x_A64FX_32,23,59.65,25.63839,14.71161,303731056,,,,,,
ft.B.x_A64FX_32,24,58.99,26.057754,14.952246,303510911,,,,,,
ft.B.x_A64FX_32,25,59.13,25.968798,14.901202,303478944,,,,,,
ft.B.x_A64FX_32,26,60.31,25.219026,14.470974,304349752,,,,,,
ft.B.x_A64FX_32,27,59.9,25.47954,14.62046,304058018,,,,,,
ft.B.x_A64FX_32,28,59.97,25.435062,14.594938,303961271,,,,,,
ft.B.x_A64FX_32,29,59.74,25.581204,14.678796,303948877,,,,,,
ft.B.x_A64FX_32,30,59.73,25.587558,14.682442,303802809,,,,,,
ft.B.x_A64FX_32,31,59.49,25.740054,14.769946,303621034,,,,,,
ft.B.x_LARC_A,0,59.74,37.429722,2.83027799999999,303968037,,,,,,
ft.B.x_LARC_A,1,60.03,37.160109,2.80989099999999,303982499,,,,,,
ft.B.x_LARC_A,2,59.92,37.262376,2.81762399999999,304061020,,,,,,
ft.B.x_LARC_A,3,59.47,37.680741,2.84925899999999,303766323,,,,,,
ft.B.x_LARC_A,4,59.21,37.922463,2.867537,303507256,,,,,,
ft.B.x_LARC_A,5,59.09,38.034027,2.875973,303457285,,,,,,
ft.B.x_LARC_A,6,58.57,38.517471,2.91252900000001,303328892,,,,,,
ft.B.x_LARC_A,7,59.63,37.531989,2.83801099999999,303706723,,,,,,
ft.B.x_LARC_A,8,59.23,37.903869,2.866131,303606709,,,,,,
ft.B.x_LARC_A,9,59.39,37.755117,2.854883,303570856,,,,,,
ft.B.x_LARC_A,10,59.39,37.755117,2.854883,303705710,,,,,,
ft.B.x_LARC_A,11,59.41,37.736523,2.853477,303590459,,,,,,
ft.B.x_LARC_A,12,59.8,37.37394,2.82606,303981720,,,,,,
ft.B.x_LARC_A,13,60.3,36.90909,2.79091,304165294,,,,,,
ft.B.x_LARC_A,14,59.67,37.494801,2.835199,303904014,,,,,,
ft.B.x_LARC_A,15,59.19,37.941057,2.868943,303501125,,,,,,
ft.B.x_LARC_A,16,59.48,37.671444,2.848556,303621706,,,,,,
ft.B.x_LARC_A,17,58.58,38.508174,2.911826,303333343,,,,,,
ft.B.x_LARC_A,18,58.48,38.601144,2.91885600000001,303192512,,,,,,
ft.B.x_LARC_A,19,59.49,37.662147,2.847853,303776440,,,,,,
ft.B.x_LARC_A,20,60.46,36.760338,2.779662,304269516,,,,,,
ft.B.x_LARC_A,21,58.22,38.842866,2.937134,303186678,,,,,,
ft.B.x_LARC_A,22,59.96,37.225188,2.814812,304093554,,,,,,
ft.B.x_LARC_A,23,59.66,37.504098,2.835902,303731056,,,,,,
ft.B.x_LARC_A,24,59.01,38.108403,2.881597,303510911,,,,,,
ft.B.x_LARC_A,25,59.14,37.987542,2.87245799999999,303478944,,,,,,
ft.B.x_LARC_A,26,60.33,36.881199,2.78880100000001,304349752,,,,,,
