Run,TID,Flops,Bytes,FPINS,Intops,INTINS
cg.B.x_A64FX_32,1263,2117573194,21588934722,163127608,1509042767,749322720
cg.B.x_A64FX_32,1236,2118522820,21480595537,159236186,1475431081,716225215
cg.B.x_A64FX_32,1249,2117582751,21611195732,161090181,1497263442,738065339
cg.B.x_A64FX_32,1253,2133021358,21693759334,162655292,1502574049,736822413
cg.B.x_A64FX_32,1261,2105833632,21519428979,162145390,1506793173,752255210
cg.B.x_A64FX_32,1247,2107670278,21419616938,160170484,1487037798,732464391
cg.B.x_A64FX_32,1256,2109483295,21431820132,161615965,1492315900,736664504
cg.B.x_A64FX_32,1233,2107982257,21466755319,158120044,1475319490,721201616
cg.B.x_LARC_C,1237,2113311473,21467382193,159030047,1476609530,719742586
cg.B.x_LARC_C,1255,2110490003,21443781469,161508209,1493174029,737172715
cg.B.x_LARC_C,1264,2121167818,21603425862,163538896,1508727034,747407497
cg.B.x_LARC_C,1243,2108654926,21369435632,159603972,1475563824,720720066
cg.B.x_LARC_C,1238,2117515750,21475110929,159428548,1477484705,718648264
cg.B.x_LARC_C,1260,2106464546,21469308226,162049136,1503377420,748798640
cg.B.x_LARC_C,1259,2129693698,21713015238,163364448,1513836066,748938278
cg.B.x_LARC_C,1251,2100829411,21338227348,160370105,1484322803,732283853
cg.B.x_LARC_C,1248,2111037025,21460266629,160500119,1489312820,733263025
cg.B.x_LARC_C,1242,2101057918,21280480157,158954580,1470618612,719091535
cg.B.x_LARC_C,1245,2102187512,21401349607,159495326,1485778010,733678904
cg.B.x_LARC_C,1234,2117804193,21469758573,158849527,1474216668,715591169
cg.B.x_LARC_C,1240,2128109765,21553528315,160379683,1480356972,717417473
cg.B.x_LARC_C,1235,2113092002,21418827007,158745368,1472261698,715356044
cg.B.x_LARC_C,1254,2104090312,21375773853,161000950,1488443550,734956949
cg.B.x_LARC_C,1257,2124635501,21688255147,162803627,1511354334,748255058
cg.B.x_LARC_C,1250,2113037264,21470199907,160947222,1491778988,734924948
cg.B.x_LARC_C,1239,2126750769,21550574803,160222095,1479856527,716706009
cg.B.x_LARC_C,1244,2113795805,21407952690,160101251,1477050362,719941407
cg.B.x_LARC_C,1246,2112787716,21463340617,160316306,1489207710,732707684
cg.B.x_LARC_C,1262,2116973963,21588003779,162992737,1510772491,751365790
cg.B.x_LARC_C,1241,2083863740,21172529753,157773906,1466987710,722934767
cg.B.x_LARC_C,1258,2120469947,21620523604,162611809,1510419158,749730857
cg.B.x_LARC_C,1252,2118381462,21526185153,161543092,1493888508,734442659
cg.B.x_LARC_C,1263,2117573194,21588934722,163127608,1509042767,749322720
cg.B.x_LARC_C,1236,2118522820,21480595537,159236186,1475431081,716225215
